Unidad,Tema,Elemento,Tipo,Título,Estado,Palabras,Rise360_ID,Timestamp,Errores
1,1.1,Narrativa,Narrative,Narrativa: Del Aula Física al Ecosistema Digital: Paradigmas de la Educación Virtual,✅,286,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_1_1_1,2026-02-25T19:06:27.283613,
1,1.1,Conceptos,list,"[Concept(term='Distancia transaccional', definitio",⏳,,,2026-02-25T19:06:27.283728,
1,1.1,Académico,AcademicText,Texto Académico: Del Aula Física al Ecosistema Digital: Paradigmas de la Educación Virtual,✅,285,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_1_1_3,2026-02-25T19:06:27.283775,
1,1.1,Infografía,Infographic,Infografía: Del Aula Física al Ecosistema Digital: Paradigmas de la Educación Virtual,✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_1_1_4,2026-02-25T19:06:27.284110,
1,1.1,Video,VideoScript,Video: Del Aula Física al Ecosistema Digital: Paradigmas de la Educación Virtual,✅,292,block_sim_video_lesson_sim_unit_sim_course_sim_1772064387_1_1_5,2026-02-25T19:06:27.284167,
1,1.1,Actividad,PracticalActivity,Actividad Práctica: Del Aula Física al Ecosistema Digital: Paradigmas de la Educación Virtual,✅,293,block_sim_interaction_lesson_sim_unit_sim_course_sim_1772064387_1_1_6,2026-02-25T19:06:27.284206,
1,1.2,Narrativa,Narrative,"Narrativa: Modelos Pedagógicos para el Aprendizaje en Línea: Constructivismo, Conectivismo y ABS",✅,289,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_1_2_1,2026-02-25T19:06:27.284275,
1,1.2,Conceptos,list,"[Concept(term='Constructivismo Social', definition",⏳,,,2026-02-25T19:06:27.284314,
1,1.2,Académico,AcademicText,"Texto Académico: Modelos Pedagógicos para el Aprendizaje en Línea: Constructivismo, Conectivismo y ABS",✅,292,block_sim_text_lesson_sim_unit_sim_course_sim_1772064387_1_2_3,2026-02-25T19:06:27.284343,
1,1.2,Infografía,Infographic,"Infografía: Modelos Pedagógicos para el Aprendizaje en Línea: Constructivismo, Conectivismo y ABS",✅,,block_sim_image_lesson_sim_unit_sim_course_sim_1772064387_1_2_4,2026-02-25T19:06:27.284398,
